Smartphone Name,Price,Ram & Rom,Dipslay,Camera,Battery Capacity,Operating System,Star_Ratings,No of Ratings,No of Reviews
"SAMSUNG Galaxy M12 (Blue, 128 GB)",13286,6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,48MP Rear Camera,6000 mAh Battery,1 Year,4.2,2984,190
"POCO C3 (Lime Green, 32 GB)",7499,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G35 Processor,4.3,388188,26300
"realme C20 (Cool Blue, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek Helio G35 Processor,4.4,250228,11884
"realme C20 (Cool Grey, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek Helio G35 Processor,4.4,250228,11884
"realme Narzo 30 (Racing Blue, 64 GB)",13499,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,4.4,98119,8399
"realme Narzo 30 (Racing Silver, 64 GB)",14499,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,4.3,63738,5200
"SAMSUNG Galaxy M12 (Blue, 128 GB)",13286,6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,48MP Rear Camera,6000 mAh Battery,1 Year,4.2,2984,190
"realme 8i (Space Purple, 64 GB)",13999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G96 Processor,4.5,137144,8509
"realme 8i (Space Purple, 128 GB)",15999,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G96 Processor,4.4,58175,4033
"APPLE iPhone SE (Black, 64 GB)",30299,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",4.5,144594,11387
"realme Narzo 50i (Mint Green, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,SC9863A Processor,4.5,66438,2420
"realme Narzo 50i (Carbon Black, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,SC9863A Processor,4.5,66438,2420
"Infinix Smart 5A (Ocean Wave, 32 GB)",7199,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,8MP + Depth Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio A20 Processor,4.4,60616,4095
"Infinix Note 11s (Haze Green, 64 GB)",13999,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.65 cm (6.95 inch) Full HD+ Display,50 MP + 2 MP Depth Lens + 2 MP Macro Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio G96 Processor,4.3,3904,585
"Infinix Smart 5A (Midnight Black, 32 GB)",7199,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,8MP + Depth Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio A20 Processor,4.4,60616,4095
"Infinix Smart 5A (Quetzal Cyan, 32 GB)",7199,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,8MP + Depth Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio A20 Processor,4.4,60616,4095
"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",12999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G80 Processor,4.3,48009,4678
"Infinix Hot 10S (Morandi Green, 64 GB)",10999,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,48MP + 2MP + AI Lens Camera | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G85 Processor,4.3,44744,4190
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",12999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G80 Processor,4.3,48009,4678
"Infinix Note 11s Free Fire Edition (Symphony Cyan, 128 GB)",15999,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.65 cm (6.95 inch) Full HD+ Display,50 MP + 2 MP Depth Lens + 2 MP Macro Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G96 Processor,4.3,2038,318
"APPLE iPhone 12 (Black, 64 GB)",60399,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,4.7,160793,11037
"REDMI 9i (Midnight Black, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G25 Processor,4.3,547360,32542
"realme Narzo 30 (Racing Silver, 128 GB)",15499,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,4.3,63738,5200
"Infinix Hot 11S (Polar Black, 64 GB)",10999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.22 cm (6.78 inch) Full HD+ Display,50MP + 2MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio G88 Processor,4.3,21072,2306
"realme Narzo 50i (Carbon Black, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,SC9863A Processor,4.3,37631,1917
